id,a,b,a_times_b,template_a,template_b,digits_a,digits_b,nonzero_a,nonzero_b,digit_total,nonzero_total,complexity_c,stratum_id,split
mm_02445,100060014,655362269,65575557811211766,D000D00DD,DDDDDDDDD,9,9,4,9,18,13,234,d18_nz13,train
mm_02446,66868134,7000000,468076938000000,DDDDDDDD,D000000,8,7,8,1,15,9,135,d15_nz9,train
mm_02447,597167181,656010748,391748089088861388,DDDDDDDDD,DDD0D0DDD,9,9,9,7,18,16,288,d18_nz16,train
mm_02448,600800070,9554552,5740375510418640,D00D000D0,DDDDDDD,9,7,3,7,16,10,160,d16_nz10,val
mm_02449,170706904,500000084,85353466339379936,DD0D0DD0D,D000000DD,9,9,6,3,18,9,162,d18_nz9,train
mm_02450,68098759,94600848,6442200349147632,DD0DDDDD,DDD00DDD,8,8,7,6,16,13,208,d16_nz13,train
mm_02451,530200000,577590426,306238443865200000,DD0D00000,DDDDD0DDD,9,9,3,8,18,11,198,d18_nz11,train
mm_02452,917490980,109115461,100112451246041780,DDDDD0DD0,D0DDDDDDD,9,9,7,8,18,15,270,d18_nz15,train
mm_02453,805300090,98964980,79696507300848200,D0DD000D0,DDDDDDD0,9,8,4,7,17,11,187,d17_nz11,test
mm_02454,807104095,740000001,597257031107104095,D0DD0D0DD,DD000000D,9,9,6,3,18,9,162,d18_nz9,train
mm_02455,75801373,57879675,4387358833793775,DDD0DDDD,DDDDDDDD,8,8,7,8,16,15,240,d16_nz15,train
mm_02456,280700088,53623572,15052141379274336,DD0D000DD,DDDDDDDD,9,8,5,8,17,13,221,d17_nz13,train
mm_02457,23000008,30504090,701594314032720,DD00000D,D0D0D0D0,8,8,3,4,16,7,112,d16_nz7,train
mm_02458,3138025,800208,2511072709200,DDDD0DD,D00D0D,7,6,6,3,13,9,117,d13_nz9,val
mm_02459,61622861,285234483,17576964898315863,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02460,30115544,7315246,220302612783824,D0DDDDDD,DDDDDDD,8,7,7,7,15,14,210,d15_nz14,test
mm_02461,440,61,26840,DD0,DD,3,2,2,2,5,4,20,d5_nz4,train
mm_02462,37103304,317665483,11786438986055832,DDD0DD0D,DDDDDDDDD,8,9,6,9,17,15,255,d17_nz15,train
mm_02463,450207,573649487,258261014593809,DD0D0D,DDDDDDDDD,6,9,4,9,15,13,195,d15_nz13,train
mm_02464,1802,759,1367718,DD0D,DDD,4,3,3,3,7,6,42,d7_nz6,train
mm_02465,750076,59533724,44654817563024,DD00DD,DDDDDDDD,6,8,4,8,14,12,168,d14_nz12,train
mm_02466,340560,311839053,106199907889680,DD0DD0,DDDDDD0DD,6,9,4,8,15,12,180,d15_nz12,val
mm_02467,153031,15461000,2366012291000,DDD0DD,DDDDD000,6,8,5,5,14,10,140,d14_nz10,val
mm_02468,39693331,495404737,19664264204708947,DDDDDDDD,DDDD0DDDD,8,9,8,8,17,16,272,d17_nz16,train
mm_02469,194999350,1002073,195403583652550,DDDDDDDD0,D00D0DD,9,7,8,4,16,12,192,d16_nz12,train
mm_02470,86115329,155551684,13395384444164036,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,test
mm_02471,70309209,419774030,29513980008042270,D0D0DD0D,DDDDDD0D0,8,9,5,7,17,12,204,d17_nz12,train
mm_02472,103000,73010,7520030000,D0D000,DD0D0,6,5,2,3,11,5,55,d11_nz5,train
mm_02473,484334008,574418691,278210506882143528,DDDDDD00D,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_02474,276278887,288499,79706182620613,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,train
mm_02475,709404440,700006200,496587506307528000,D0DD0DDD0,D0000DD00,9,9,6,3,18,9,162,d18_nz9,train
mm_02476,580267,24385,14149810795,DD0DDD,DDDDD,6,5,5,5,11,10,110,d11_nz10,val
mm_02477,35817053,500000000,17908526500000000,DDDDD0DD,D00000000,8,9,7,1,17,8,136,d17_nz8,test
mm_02478,9,529699383,4767294447,D,DDDDDDDDD,1,9,1,9,10,10,100,d10_nz10,train
mm_02479,579,5652697,3272911563,DDD,DDDDDDD,3,7,3,7,10,10,100,d10_nz10,val
mm_02480,5000,800000,4000000000,D000,D00000,4,6,1,1,10,2,20,d10_nz2,train
mm_02481,565272127,300000,169581638100000,DDDDDDDDD,D00000,9,6,9,1,15,10,150,d15_nz10,train
mm_02482,14812209,93254,1381297738086,DDDDDD0D,DDDDD,8,5,7,5,13,12,156,d13_nz12,train
mm_02483,491854,3171149,1559742320246,DDDDDD,DDDDDDD,6,7,6,7,13,13,169,d13_nz13,train
mm_02484,436646633,307065077,134078931983935741,DDDDDDDDD,D0D0DD0DD,9,9,9,6,18,15,270,d18_nz15,train
mm_02485,6003208,152830820,917475201270560,D00DD0D,DDDDD0DD0,7,9,4,7,16,11,176,d16_nz11,train
mm_02486,629,496978567,312599518643,DDD,DDDDDDDDD,3,9,3,9,12,12,144,d12_nz12,train
mm_02487,1000000,722004879,722004879000000,D000000,DDD00DDDD,7,9,1,7,16,8,128,d16_nz8,val
mm_02488,512204649,891523677,456642572052974373,DDDD0DDDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_02489,642933095,69,44362383555,DDDDDD0DD,DD,9,2,8,2,11,10,110,d11_nz10,train
mm_02490,60048000,52600,3158524800000,D00DD000,DDD00,8,5,3,3,13,6,78,d13_nz6,test
mm_02491,730208704,55885453,40808044207582912,DD0D0DD0D,DDDDDDDD,9,8,6,8,17,14,238,d17_nz14,train
mm_02492,675176,357925295,241662568976920,DDDDDD,DDDDDDDDD,6,9,6,9,15,15,225,d15_nz15,train
mm_02493,60700,861241834,52277379323800,D0D00,DDDDDDDDD,5,9,2,9,14,11,154,d14_nz11,train
mm_02494,71798641,100000000,7179864100000000,DDDDDDDD,D00000000,8,9,8,1,17,9,153,d17_nz9,train
mm_02495,5,408016002,2040080010,D,D0D0DD00D,1,9,1,5,10,6,60,d10_nz6,train
mm_02496,400000000,9606,3842400000000,D00000000,DD0D,9,4,1,3,13,4,52,d13_nz4,test
mm_02497,800009582,9391399,7513209188385218,D0000DDDD,DDDDDDD,9,7,5,7,16,12,192,d16_nz12,train
mm_02498,61587580,499865415,30785501235545700,DDDDDDD0,DDDDDDDDD,8,9,7,9,17,16,272,d17_nz16,val
mm_02499,85984967,78164561,6720977198154487,DDDDDDDD,DDDDDDDD,8,8,8,8,16,16,256,d16_nz16,train
mm_02500,725591781,693050068,502871433162291108,DDDDDDDDD,DDD0D00DD,9,9,9,6,18,15,270,d18_nz15,val
mm_02501,404360000,403534971,163173400873560000,D0DDD0000,D0DDDDDDD,9,9,4,8,18,12,216,d18_nz12,val
mm_02502,393854823,27381871,10784481956113833,DDDDDDDDD,DDDDDDDD,9,8,9,8,17,17,289,d17_nz17,train
mm_02503,22887712,1020000,23345466240000,DDDDDDDD,D0D0000,8,7,8,2,15,10,150,d15_nz10,train
mm_02504,6506644,60900,396254619600,DD0DDDD,D0D00,7,5,6,2,12,8,96,d12_nz8,train
mm_02505,270201002,665401428,179792132577830856,DD0D0D00D,DDDD0DDDD,9,9,5,8,18,13,234,d18_nz13,test
mm_02506,7408076,60133238,445471597230088,DD0D0DD,D0DDDDDD,7,8,5,7,15,12,180,d15_nz12,val
mm_02507,591,43520340,25720520940,DDD,DDDD0DD0,3,8,3,6,11,9,99,d11_nz9,val
mm_02508,703097820,207060000,145583434609200000,D0D0DDDD0,D0D0D0000,9,9,6,3,18,9,162,d18_nz9,train
mm_02509,3642975,8588,31285869300,DDDDDDD,DDDD,7,4,7,4,11,11,121,d11_nz11,train
mm_02510,980019,74671524,73179512278956,DD00DD,DDDDDDDD,6,8,4,8,14,12,168,d14_nz12,train
mm_02511,564885813,758937747,428713166230483311,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_02512,962610,46329,44596758690,DDDDD0,DDDDD,6,5,5,5,11,10,110,d11_nz10,test
mm_02513,9842002,22,216524044,DDDD00D,DD,7,2,5,2,9,7,63,d9_nz7,train
mm_02514,162914,509763013,83047531499882,DDDDDD,D0DDDD0DD,6,9,6,7,15,13,195,d15_nz13,test
mm_02515,295906453,903308979,267294955938941487,DDDD0DDDD,D0DD0DDDD,9,9,8,7,18,15,270,d18_nz15,train
mm_02516,800006,10000000,8000060000000,D0000D,D0000000,6,8,2,1,14,3,42,d14_nz3,train
mm_02517,90001110,83601988,7524271718206680,D000DDD0,DDD0DDDD,8,8,4,7,16,11,176,d16_nz11,train
mm_02518,90000000,400000000,36000000000000000,D0000000,D00000000,8,9,1,1,17,2,34,d17_nz2,train
mm_02519,85,274932768,23369285280,DD,DDDDDDDDD,2,9,2,9,11,11,121,d11_nz11,train
mm_02520,819506002,550572679,451197614977719358,DDDD0D00D,DD0DDDDDD,9,9,6,8,18,14,252,d18_nz14,train
mm_02521,968943081,72965,70698931905165,DDDDDD0DD,DDDDD,9,5,8,5,14,13,182,d14_nz13,train
mm_02522,591181023,40893000,24175165573539000,DDDDDD0DD,D0DDD000,9,8,8,4,17,12,204,d17_nz12,train
mm_02523,20140,54093,1089433020,D0DD0,DD0DD,5,5,3,4,10,7,70,d10_nz7,test
mm_02524,719301000,626584991,450703210611291000,DDDD0D000,DDDDDDDDD,9,9,5,9,18,14,252,d18_nz14,train
mm_02525,308303850,529009329,163095612816616650,D0DD0DDD0,DDD00DDDD,9,9,6,7,18,13,234,d18_nz13,val
mm_02526,43464341,75735730,3291803594603930,DDDDDDDD,DDDDDDD0,8,8,8,7,16,15,240,d16_nz15,train
mm_02527,406161775,550000021,223388984779397275,D0DDDDDDD,DD00000DD,9,9,8,4,18,12,216,d18_nz12,train
mm_02528,5000200,80,400016000,D000D00,D0,7,2,2,1,9,3,27,d9_nz3,train
mm_02529,961600,7718357,7421972091200,DDDD00,DDDDDDD,6,7,4,7,13,11,143,d13_nz11,test
mm_02530,221190245,237151,52455487791995,DDDDD0DDD,DDDDDD,9,6,8,6,15,14,210,d15_nz14,train
mm_02531,800000000,154658794,123727035200000000,D00000000,DDDDDDDDD,9,9,1,9,18,10,180,d18_nz10,train
mm_02532,1180000,42517611,50170780980000,DDD0000,DDDDDDDD,7,8,3,8,15,11,165,d15_nz11,train
mm_02533,481006,5900,2837935400,DDD00D,DD00,6,4,4,2,10,6,60,d10_nz6,train
mm_02534,89042605,201285000,17922940747425000,DD0DDD0D,D0DDDD000,8,9,6,5,17,11,187,d17_nz11,train
mm_02535,5647136,254510,1437252583360,DDDDDDD,DDDDD0,7,6,7,5,13,12,156,d13_nz12,train
mm_02536,703000000,227085288,159640957464000000,D0D000000,DDD0DDDDD,9,9,2,8,18,10,180,d18_nz10,train
mm_02537,60000501,890000009,53400446430004509,D0000D0D,DD000000D,8,9,3,3,17,6,102,d17_nz6,train
mm_02538,700000,500006008,350004205600000,D00000,D0000D00D,6,9,1,3,15,4,60,d15_nz4,test
mm_02539,10000,70040070,700400700000,D0000,D00D00D0,5,8,1,3,13,4,52,d13_nz4,train
mm_02540,490926567,741818246,364178284846741482,DD0DDDDDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_02541,56563943,830390932,46970185345364876,DDDDDDDD,DD0DD0DDD,8,9,8,7,17,15,255,d17_nz15,train
mm_02542,14338529,445074704,6381716550470416,DDDDDDDD,DDD0DDD0D,8,9,8,7,17,15,255,d17_nz15,train
mm_02543,657,47,30879,DDD,DD,3,2,3,2,5,5,25,d5_nz5,train
mm_02544,400,10000000,4000000000,D00,D0000000,3,8,1,1,11,2,22,d11_nz2,train
mm_02545,15500,841877739,13049104954500,DDD00,DDDDDDDDD,5,9,3,9,14,12,168,d14_nz12,train
mm_02546,6047224,46868948,283427027200352,D0DDDDD,DDDDDDDD,7,8,6,8,15,14,210,d15_nz14,train
mm_02547,890602000,200000000,178120400000000000,DD0D0D000,D00000000,9,9,4,1,18,5,90,d18_nz5,train
mm_02548,570743938,90402400,51596621780651200,DD0DDDDDD,D0D0DD00,9,8,8,4,17,12,204,d17_nz12,val
mm_02549,8720315,100000370,872034726516550,DDD0DDD,D00000DD0,7,9,6,3,16,9,144,d16_nz9,train
mm_02550,325382488,638155830,207644731697105040,DDDDDDDDD,DDDDDDDD0,9,9,9,8,18,17,306,d18_nz17,train
mm_02551,9497791,783,7436770353,DDDDDDD,DDD,7,3,7,3,10,10,100,d10_nz10,train
mm_02552,3048160,524529659,1598850325377440,D0DDDD0,DDDDDDDDD,7,9,5,9,16,14,224,d16_nz14,train
mm_02553,9686687,395055123,3826775324247501,DDDDDDD,DDD0DDDDD,7,9,7,8,16,15,240,d16_nz15,train
mm_02554,900700,6048270,5447676789000,D00D00,D0DDDD0,6,7,2,5,13,7,91,d13_nz7,train
mm_02555,361786824,500569072,181099294751507328,DDDDDDDDD,D00DDD0DD,9,9,9,6,18,15,270,d18_nz15,val
mm_02556,36382676,534665682,19452568276525032,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02557,79176,54,4275504,DDDDD,DD,5,2,5,2,7,7,49,d7_nz7,val
mm_02558,896832564,510078465,457454977607134260,DDDDDDDDD,DD00DDDDD,9,9,9,7,18,16,288,d18_nz16,train
mm_02559,564904931,25592771,14457482535853801,DDDD0DDDD,DDDDDDDD,9,8,8,8,17,16,272,d17_nz16,train
mm_02560,85285131,882652873,75277165901331363,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02561,74451843,3442323,256287291551289,DDDDDDDD,DDDDDDD,8,7,8,7,15,15,225,d15_nz15,train
mm_02562,16553302,69648247,1152908466361594,DDDDDD0D,DDDDDDDD,8,8,7,8,16,15,240,d16_nz15,train
mm_02563,81051590,60000009,4863096129464310,DD0DDDD0,D000000D,8,8,6,2,16,8,128,d16_nz8,test
mm_02564,10000000,4401,44010000000,D0000000,DD0D,8,4,1,3,12,4,48,d12_nz4,train
mm_02565,907020003,74000,67119480222000,D0D0D000D,DD000,9,5,4,2,14,6,84,d14_nz6,train
mm_02566,571257730,57309030,32738226386301900,DDDDDDDD0,DDD0D0D0,9,8,8,5,17,13,221,d17_nz13,val
mm_02567,60000040,469369619,28162195914784760,D00000D0,DDDDDDDDD,8,9,2,9,17,11,187,d17_nz11,val
mm_02568,371562654,98200610,36487679276018940,DDDDDDDDD,DDD00DD0,9,8,9,5,17,14,238,d17_nz14,train
mm_02569,970710000,40009000,38837136390000000,DD0DD0000,D000D000,9,8,4,2,17,6,102,d17_nz6,train
mm_02570,738083947,479573158,353965249331894626,DDD0DDDDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,val
mm_02571,300000,298850857,89655257100000,D00000,DDDDD0DDD,6,9,1,8,15,9,135,d15_nz9,train
mm_02572,37987052,868220500,32981137280966000,DDDDD0DD,DDDDD0D00,8,9,7,6,17,13,221,d17_nz13,train
mm_02573,960004000,240242695,230633948170780000,DD000D000,DD0DDDDDD,9,9,3,8,18,11,198,d18_nz11,test
mm_02574,100900080,100090410,10099130376232800,D00D000D0,D000D0DD0,9,9,3,4,18,7,126,d18_nz7,val
mm_02575,709000000,20206270,14326245430000000,D0D000000,D0D0DDD0,9,8,2,5,17,7,119,d17_nz7,train
mm_02576,824395,49313165,40653526660175,DDDDDD,DDDDDDDD,6,8,6,8,14,14,196,d14_nz14,test
mm_02577,66611069,6000948,399729561293412,DDDDD0DD,D000DDD,8,7,7,4,15,11,165,d15_nz11,train
mm_02578,335166638,10840306,3633308916911228,DDDDDDDDD,D0DD0D0D,9,8,9,5,17,14,238,d17_nz14,train
mm_02579,995882200,91205151,90829586429212200,DDDDDDD00,DDD0DDDD,9,8,7,7,17,14,238,d17_nz14,train
mm_02580,532984,36911,19672972424,DDDDDD,DDDDD,6,5,6,5,11,11,121,d11_nz11,train
mm_02581,53560769,539769607,28910475233747783,DDDD0DDD,DDDDDDD0D,8,9,7,8,17,15,255,d17_nz15,train
mm_02582,638042952,76311791,48690200402047032,DDD0DDDDD,DDDDDDDD,9,8,8,8,17,16,272,d17_nz16,train
mm_02583,617193442,711847366,439347526000173772,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_02584,93257441,314639648,29342488409620768,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02585,50000000,300008000,15000400000000000,D0000000,D0000D000,8,9,1,2,17,3,51,d17_nz3,test
mm_02586,137388262,622094781,85468520760860622,DDDDDDDDD,DDD0DDDDD,9,9,9,8,18,17,306,d18_nz17,test
mm_02587,89411498,475766285,42538976239744930,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02588,596115562,669929237,399355243614486194,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,val
mm_02589,674087429,102650365,69195320628761585,DDD0DDDDD,D0DDD0DDD,9,9,8,7,18,15,270,d18_nz15,train
mm_02590,96000630,325345546,31233377383693980,DD000DD0,DDDDDDDDD,8,9,4,9,17,13,221,d17_nz13,train
mm_02591,99343,530435373,52695041259939,DDDDD,DD0DDDDDD,5,9,5,8,14,13,182,d14_nz13,train
mm_02592,978611443,1010003,988400493264329,DDDDDDDDD,D0D000D,9,7,9,3,16,12,192,d16_nz12,train
mm_02593,903096450,811700651,733043976380788950,D0D0DDDD0,DDDD00DDD,9,9,6,7,18,13,234,d18_nz13,test
mm_02594,105040645,30000800,3151303382516000,D0D0D0DDD,D0000D00,9,8,6,2,17,8,136,d17_nz8,test
mm_02595,620000004,60000000,37200000240000000,DD000000D,D0000000,9,8,3,1,17,4,68,d17_nz4,train
mm_02596,105792818,985901441,104301291713650738,D0DDDDDDD,DDDD0DDDD,9,9,8,8,18,16,288,d18_nz16,train
mm_02597,894582728,6656444,5954739832299232,DDDDDDDDD,DDDDDDD,9,7,9,7,16,16,256,d16_nz16,train
mm_02598,200070800,1609800,322073973840000,D000D0D00,DD0DD00,9,7,3,4,16,7,112,d16_nz7,train
mm_02599,911183126,97607,88937851379482,DDDDDDDDD,DDD0D,9,5,9,4,14,13,182,d14_nz13,train
mm_02600,837485500,520009682,435500568534611000,DDDDDDD00,DD000DDDD,9,9,7,6,18,13,234,d18_nz13,val
mm_02601,217748914,602706,131238576961284,DDDDDDDDD,D0DD0D,9,6,9,4,15,13,195,d15_nz13,train
mm_02602,710687006,305678467,217241714510899802,DD0DDD00D,D0DDDDDDD,9,9,6,8,18,14,252,d18_nz14,train
mm_02603,888857009,263415937,234139101884752433,DDDDDD00D,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_02604,1588280,204150380,324247965546400,DDDDDD0,D0DDD0DD0,7,9,6,6,16,12,192,d16_nz12,test
mm_02605,22040080,7218904,159105221672320,DD0D00D0,DDDDD0D,8,7,4,6,15,10,150,d15_nz10,train
mm_02606,825259612,823857075,679895970057954900,DDDDDDDDD,DDDDDD0DD,9,9,9,8,18,17,306,d18_nz17,val
mm_02607,175160943,695668633,121853973771800919,DDDDD0DDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_02608,4080647,23006907,93883066028829,D0D0DDD,DD00DD0D,7,8,5,5,15,10,150,d15_nz10,train
mm_02609,1400,5,7000,DD00,D,4,1,2,1,5,3,15,d5_nz3,train
mm_02610,592692,2745628,1627311750576,DDDDDD,DDDDDDD,6,7,6,7,13,13,169,d13_nz13,train
mm_02611,3553012,800500,2844186106000,DDDD0DD,D00D00,7,6,6,2,13,8,104,d13_nz8,test
mm_02612,50080060,510080000,25544837004800000,D00D00D0,DD00D0000,8,9,3,3,17,6,102,d17_nz6,test
mm_02613,92006,6538767,601605796602,DD00D,DDDDDDD,5,7,3,7,12,10,120,d12_nz10,test
mm_02614,25074287,2682415,67259643563105,DD0DDDDD,DDDDDDD,8,7,7,7,15,14,210,d15_nz14,train
mm_02615,215193432,530741,114211977293112,DDDDDDDDD,DD0DDD,9,6,9,5,15,14,210,d15_nz14,train
mm_02616,4699057,35018776,164555224494232,DDDD0DD,DD0DDDDD,7,8,6,7,15,13,195,d15_nz13,train
mm_02617,40000,79982101,3199284040000,D0000,DDDDDD0D,5,8,1,7,13,8,104,d13_nz8,test
mm_02618,74851164,40007000,2994570518148000,DDDDDDDD,D000D000,8,8,8,2,16,10,160,d16_nz10,val
mm_02619,269735737,960808000,259164253995496000,DDDDDDDDD,DD0D0D000,9,9,9,4,18,13,234,d18_nz13,train
mm_02620,600028,20000000,12000560000000,D000DD,D0000000,6,8,3,1,14,4,56,d14_nz4,train
mm_02621,80910,10000000,809100000000,D0DD0,D0000000,5,8,3,1,13,4,52,d13_nz4,train
mm_02622,935854435,721188,674926988268780,DDDDDDDDD,DDDDDD,9,6,9,6,15,15,225,d15_nz15,val
mm_02623,80000000,426902420,34152193600000000,D0000000,DDDD0DDD0,8,9,1,7,17,8,136,d17_nz8,test
mm_02624,976,95501053,93209027728,DDD,DDD0D0DD,3,8,3,6,11,9,99,d11_nz9,train
mm_02625,49069550,651053162,31946885685417100,DD0DDDD0,DDD0DDDDD,8,9,6,8,17,14,238,d17_nz14,train
mm_02626,577525778,4985919,2879496749519982,DDDDDDDDD,DDDDDDD,9,7,9,7,16,16,256,d16_nz16,val
mm_02627,456702024,650360019,297020737005978456,DDDD0D0DD,DD0DD00DD,9,9,7,6,18,13,234,d18_nz13,train
mm_02628,272572,36261579,9883891111188,DDDDDD,DDDDDDDD,6,8,6,8,14,14,196,d14_nz14,train
mm_02629,9604507,400089000,3842657601123000,DD0DD0D,D000DD000,7,9,5,3,16,8,128,d16_nz8,train
mm_02630,8436,7600010,64113684360,DDDD,DD000D0,4,7,4,3,11,7,77,d11_nz7,train
mm_02631,80090,241910,19374571900,D00D0,DDDDD0,5,6,2,5,11,7,77,d11_nz7,val
mm_02632,566607353,21177490,11999321552083970,DDDD0DDDD,DDDDDDD0,9,8,8,7,17,15,255,d17_nz15,train
mm_02633,60,200709,12042540,D0,D00D0D,2,6,1,3,8,4,32,d8_nz4,train
mm_02634,33127956,100800,3339297964800,DDDDDDDD,D00D00,8,6,8,2,14,10,140,d14_nz10,test
mm_02635,916454774,815589616,747450997208026784,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_02636,408500090,66640000,27222445997600000,D0DD000D0,DDDD0000,9,8,4,4,17,8,136,d17_nz8,val
mm_02637,62480619,259277158,16199797324400802,DDDD0DDD,DDDDDDDDD,8,9,7,9,17,16,272,d17_nz16,train
mm_02638,67067478,746520,50067213676560,DD0DDDDD,DDDDD0,8,6,7,5,14,12,168,d14_nz12,train
mm_02639,318374900,2988070,951326487443000,DDDDDDD00,DDDD0D0,9,7,7,5,16,12,192,d16_nz12,train
mm_02640,408383244,184096084,75181755991616496,D0DDDDDDD,DDD0DD0DD,9,9,8,7,18,15,270,d18_nz15,train
mm_02641,206489,98826,20406481914,D0DDDD,DDDDD,6,5,5,5,11,10,110,d11_nz10,train
mm_02642,616628587,800700020,493734521943471740,DDDDDDDDD,D00D000D0,9,9,9,3,18,12,216,d18_nz12,train
mm_02643,10100400,802547501,8106050779100400,D0D00D00,D0DDDDD0D,8,9,3,7,17,10,170,d17_nz10,val
mm_02644,800000000,40000000,32000000000000000,D00000000,D0000000,9,8,1,1,17,2,34,d17_nz2,val
mm_02645,20000000,500080419,10001608380000000,D0000000,D000D0DDD,8,9,1,5,17,6,102,d17_nz6,val
mm_02646,900800,1830910,1649283728000,D00D00,DDD0DD0,6,7,2,5,13,7,91,d13_nz7,val
mm_02647,50008000,160009040,8001732072320000,D000D000,DD000D0D0,8,9,2,4,17,6,102,d17_nz6,val
mm_02648,6382,600087057,3829755597774,DDDD,D000DD0DD,4,9,4,5,13,9,117,d13_nz9,test
mm_02649,80000000,400004,32000320000000,D0000000,D0000D,8,6,1,2,14,3,42,d14_nz3,train
mm_02650,109340152,559137632,61136193671800064,D0DDD0DDD,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,test
mm_02651,900308005,288400,259648828642000,D00D0D00D,DDDD00,9,6,4,4,15,8,120,d15_nz8,train
mm_02652,6878359,591233766,4066718095469994,DDDDDDD,DDDDDDDDD,7,9,7,9,16,16,256,d16_nz16,train
mm_02653,1569336,943,1479883848,DDDDDDD,DDD,7,3,7,3,10,10,100,d10_nz10,train
mm_02654,125990068,316749893,39907340558062724,DDDDD00DD,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_02655,3275657,8074105,26447998561985,DDDDDDD,D0DDD0D,7,7,7,5,14,12,168,d14_nz12,test
mm_02656,508001352,420768845,213751142139478440,D0D00DDDD,DD0DDDDDD,9,9,6,8,18,14,252,d18_nz14,train
mm_02657,582495,51796768,30171358376160,DDDDDD,DDDDDDDD,6,8,6,8,14,14,196,d14_nz14,train
mm_02658,62206004,451813,28105481285252,DDD0D00D,DDDDDD,8,6,5,6,14,11,154,d14_nz11,train
mm_02659,902005,506090080,456495782610400,D0D00D,D0D0D00D0,6,9,3,4,15,7,105,d15_nz7,train
mm_02660,165270013,818517752,135276439513770776,DDDDD00DD,DDDDDDDDD,9,9,7,9,18,16,288,d18_nz16,train
mm_02661,70000000,5000066,350004620000000,D0000000,D0000DD,8,7,1,3,15,4,60,d15_nz4,val
mm_02662,60000003,200010001,12000600660030003,D000000D,D000D000D,8,9,2,3,17,5,85,d17_nz5,train
mm_02663,2,4014,8028,D,D0DD,1,4,1,3,5,4,20,d5_nz4,test
mm_02664,366526730,21127715,7743872291321950,DDDDDDDD0,DDDDDDDD,9,8,8,8,17,16,272,d17_nz16,train
mm_02665,806020,900000000,725418000000000,D0D0D0,D00000000,6,9,3,1,15,4,60,d15_nz4,train
mm_02666,22564386,235183551,5306772425614686,DDDDDDDD,DDDDDDDDD,8,9,8,9,17,17,289,d17_nz17,train
mm_02667,7000000,4500003,31500021000000,D000000,DD0000D,7,7,1,3,14,4,56,d14_nz4,train
mm_02668,80000000,30000,2400000000000,D0000000,D0000,8,5,1,1,13,2,26,d13_nz2,test
mm_02669,91407673,47666354,4357070499534242,DDD0DDDD,DDDDDDDD,8,8,7,8,16,15,240,d16_nz15,train
mm_02670,400000000,70000700,28000280000000000,D00000000,D0000D00,9,8,1,2,17,3,51,d17_nz3,train
mm_02671,407845324,248166758,101213651822539592,D0DDDDDDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_02672,88493940,69157,6119975408580,DDDDDDD0,DDDDD,8,5,7,5,13,12,156,d13_nz12,train
mm_02673,389354002,701937351,273302116765128702,DDDDDD00D,D0DDDDDDD,9,9,7,8,18,15,270,d18_nz15,train
mm_02674,10006,90000000,900540000000,D000D,D0000000,5,8,2,1,13,3,39,d13_nz3,val
mm_02675,532700006,4800,2556960028800,DDDD0000D,DD00,9,4,5,2,13,7,91,d13_nz7,val
mm_02676,59656286,387174,23097362875764,DDDDDDDD,DDDDDD,8,6,8,6,14,14,196,d14_nz14,train
mm_02677,766166175,422024067,323340565171333725,DDDDDDDDD,DDD0DD0DD,9,9,9,7,18,16,288,d18_nz16,test
mm_02678,2481603,510428973,1266682070683719,DDDDD0D,DD0DDDDDD,7,9,6,8,16,14,224,d16_nz14,test
mm_02679,839679453,78600780,65999459955773340,DDDDDDDDD,DDD00DD0,9,8,9,5,17,14,238,d17_nz14,train
mm_02680,47116457,6830604,321833859650028,DDDDDDDD,DDD0D0D,8,7,8,5,15,13,195,d15_nz13,train
mm_02681,51829426,2600008,134756922235408,DDDDDDDD,DD0000D,8,7,8,3,15,11,165,d15_nz11,train
mm_02682,3623268,709311362,2570025159971016,DDDDDDD,D0DDDDDDD,7,9,7,8,16,15,240,d16_nz15,train
